"","Localidade","Variável","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020"
"469","Clevelândia","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"1.467","1.685","1.716","1.668","1.570","1.504","1.517","1.612","1.563","1.658","1.631","1.726","1.600","1.734","1.783","1.570","1.786","1.748","1.714","1.627","1.732","1.866","1.459"
"470","Clevelândia","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"488.751,86","676.658,59","748.667,54","771.901,12","794.028,83","753.608,20","838.596,80","953.003,97","930.931,31","1.123.665,55","1.398.030,67","1.617.095,05","1.540.609,99","1.680.119,88","1.835.228,06","1.719.474,24","2.049.406,37","1.939.770,96","1.992.618,51","2.105.999,81","2.196.309,04","2.183.072,39","1.913.721,81"
"471","Clevelândia","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"1,98","1,01","1,34","2,7","1,46","1,53","1,58","1,8","1,79","2,17","1,78","1,91","3,13","2,71","2,92","3,44","2,91","3,89","2,68","3,75","3,23","2,52","3,36"
"472","Clevelândia","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","50","50","50","50","50","50","50","50","50","50","50","50","50","56","56","56"
"473","Clevelândia","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","39","39","39","39","39","39","39","39","39","39","39","39","39","49","49","49"
"474","Clevelândia","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","11","11","11","11","11","11","11","11","11","11","11","11","11","7","7","7"
"475","Colombo","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"12.847","14.913","15.093","15.998","15.439","15.734","15.674","15.340","15.392","16.202","15.494","16.830","16.893","17.718","15.673","15.342","14.856","14.215","14.971","16.905","17.428","18.456","15.487"
"476","Colombo","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"5.247.697,65","8.107.069,78","7.957.557,86","9.535.075,04","10.105.911,59","11.417.275,45","12.495.259,28","12.847.749,65","12.510.970,23","14.140.967,21","16.474.196,99","19.157.754,89","20.493.665,13","24.476.608,46","25.948.816,80","28.001.273,14","29.065.243,92","25.951.893,63","27.488.404,66","31.377.639,47","32.659.668,66","36.368.304,32","33.665.735,21"
"477","Colombo","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"2,67","2,25","2,64","2,55","2,8","3,16","3,22","2,91","2,77","2,85","3,1","3,04","3,43","2,83","2,68","2,82","3,41","3,62","3,65","3,26","3,02","3,21","4,91"
"478","Colombo","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","118","118","125","119","119","119","119","119","119","119","119","119","119","119","119","119"
"479","Colombo","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","111","111","113","109","109","109","109","109","109","109","109","109","109","109","109","109"
"480","Colombo","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","7","7","12","10","10","10","10","10","10","10","10","10","10","10","10","10"
"481","Colorado","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"1.778","2.041","1.948","2.129","1.882","1.702","1.687","1.840","2.050","2.194","2.181","2.284","2.495","2.309","2.393","2.313","2.500","2.513","2.548","2.346","2.566","2.335","1.872"
"482","Colorado","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"512.190,60","616.411,91","692.573,62","825.024,50","820.237,90","810.912,89","1.038.112,31","1.028.902,03","1.214.076,32","1.296.100,11","1.456.912,79","1.765.290,60","2.218.243,18","2.195.318,41","2.235.848,04","2.371.179,38","2.459.915,13","2.907.027,93","2.621.927,62","2.806.255,83","2.819.860,96","3.566.671,35","2.686.590,86"
"483","Colorado","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"2,25","1,76","1,69","1,5","1,97","2,29","2,13","3,1","2,83","2,46","2,52","2,45","2,97","3,68","3,01","3,2","2,56","2,75","2,39","3,41","3,51","3,77","4,49"
"484","Colorado","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","44","44","44","44","44","44","56","56","56","56","56","56","115","101","101","101"
"485","Colorado","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","39","39","39","39","39","39","50","50","50","50","50","50","82","65","65","75"
"486","Colorado","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","5","5","5","5","5","5","6","6","6","6","6","6","33","36","36","26"
"487","Congonhinhas","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"674","667","689","627","528","578","546","537","564","611","558","549","527","494","557","530","442","353","441","488","621","632","544"
"488","Congonhinhas","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"207.870,13","221.396,54","237.197,99","209.272,33","189.093,48","248.589,76","271.842,08","290.044,41","270.155,06","345.863,44","361.652,01","549.931,22","550.492,25","490.716,17","554.907,32","565.296,55","549.860,67","527.353,95","754.810,39","805.233,21","1.057.926,77","1.054.346,09","1.001.733,54"
"489","Congonhinhas","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"3,12","2,85","3,48","3,19","2,84","4,33","2,93","3,72","3,72","4,42","5,02","2,55","4,36","5,47","4,13","3,77","6,79","7,65","7,03","6,97","5,96","5,54","4,41"
"490","Congonhinhas","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","19","19","19","19","19","19","19","7","7","29","29","29","29","24","24","24"
"491","Congonhinhas","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","19","19","19","19","19","19","19","7","7","29","29","29","29","24","24","24"
"492","Congonhinhas","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"493","Conselheiro Mairinck","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"354","350","368","323","274","221","332","298","286","313","249","213","242","188","145","274","284","312","256","234","324","314","238"
"494","Conselheiro Mairinck","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"97.885,71","110.369,18","138.707,77","129.331,58","153.324,11","155.639,96","249.903,30","157.019,98","202.483,79","152.446,00","177.837,93","200.878,57","259.292,30","183.007,32","283.349,97","257.126,39","250.483,74","410.881,88","403.614,79","455.507,79","689.606,11","667.012,93","502.581,00"
"495","Conselheiro Mairinck","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"1,41","1,43","0,82","0,93","2,19","2,71","0,9","2,01","4,2","2,88","2,81","5,63","2,48","3,72","6,21","3,28","0,7","2,24","5,08","5,13","2,78","4,14","3,78"
"496","Conselheiro Mairinck","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","22","22","22","22","22","22","20","20","20","20","20","20","20","20","20","20"
"497","Conselheiro Mairinck","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","22","22","22","22","22","22","20","20","20","20","20","20","20","20","20","20"
"498","Conselheiro Mairinck","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"499","Contenda","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"1.081","1.132","1.187","1.202","1.253","1.285","1.204","1.060","1.136","1.048","853","889","889","1.022","965","1.045","1.187","1.422","1.319","1.665","1.800","1.785","1.445"
"500","Contenda","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"283.178,69","432.492,27","479.226,21","482.229,67","596.761,88","637.110,04","681.142,33","636.370,13","694.293,67","785.149,39","1.106.930,57","1.084.817,49","1.053.680,52","1.428.458,31","1.365.171,14","1.835.234,68","1.932.456,91","2.200.962,52","2.327.039,49","3.030.201,15","3.000.421,86","3.741.647,99","2.851.453,95"
"501","Contenda","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"2,04","1,94","2,36","2,25","2,63","2,02","2,66","3,3","3,17","2,96","3,99","4,16","5,06","4,4","3,94","3,35","2,78","3,23","2,96","3,6","3,5","3,31","3,11"
"502","Contenda","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","36","36","26","26","13","13","13","13","13","16","16","16","16","16","16","16"
"503","Contenda","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","36","36","26","26","13","13","13","13","13","16","16","16","16","16","16","16"
"504","Contenda","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"505","Corbélia","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"1.567","1.205","1.329","1.432","1.627","1.707","1.418","1.295","1.383","1.599","1.530","1.605","1.579","1.455","1.607","1.645","1.708","1.470","1.883","1.780","1.829","2.275","2.023"
"506","Corbélia","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"483.368,29","476.247,36","613.389,28","626.523,87","781.944,10","822.767,83","874.800,13","721.584,41","728.941,82","805.608,04","986.165,87","1.209.260,82","1.384.669,03","1.351.142,72","1.352.866,18","1.691.904,66","1.542.645,54","1.626.366,25","1.880.678,04","1.938.719,25","2.047.345,63","2.267.285,49","2.311.867,79"
"507","Corbélia","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"2,17","1,16","1,43","1,26","1,6","1,7","1,97","1,78","2,82","3,44","3,14","4,8","3,67","3,51","2,49","2,67","2,46","2,11","2,6","3,26","3,06","1,8","2,62"
"508","Corbélia","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","75","75","74","74","74","68","68","70","68","29","29","29","29","29","29","85"
"509","Corbélia","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","57","57","27","56","27","27","27","29","27","27","27","27","27","27","27","85"
"510","Corbélia","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","18","18","47","18","47","41","41","41","41","2","2","2","2","2","2","0"
"511","Cornélio Procópio","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"4.080","4.018","4.049","3.929","3.800","4.016","3.909","3.661","3.929","3.765","3.897","3.851","3.661","3.659","3.618","3.279","3.582","3.549","3.256","3.627","3.921","4.078","3.384"
"512","Cornélio Procópio","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"1.184.693,70","1.360.238,92","1.564.343,64","1.638.223,44","1.927.167,60","2.198.681,93","2.439.874,95","2.563.247,14","2.609.715,41","3.102.500,70","3.753.829,94","4.619.991,82","4.219.441,17","4.063.239,31","3.995.259,10","4.529.534,17","4.719.999,34","4.950.211,83","4.482.774,41","5.284.756,55","5.572.434,68","6.036.837,39","5.330.441,96"
"513","Cornélio Procópio","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"4,07","4,28","3,95","3,39","4,08","4,53","4,4","4,12","4,25","4,91","4,36","5,14","4,7","4,97","5,14","5,09","5,14","5,47","5,22","5,76","5,71","4,95","6,41"
"514","Cornélio Procópio","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","180","180","180","190","190","207","212","195","195","195","195","195","203","203","216","216"
"515","Cornélio Procópio","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","114","114","113","123","123","123","128","125","125","131","123","123","131","131","131","131"
"516","Cornélio Procópio","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","66","66","67","67","67","84","84","70","70","64","72","72","72","72","85","85"
"517","Coronel Domingos Soares","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"315","423","433","331","363","347","351","433","373","357","402","547","550","539","395","489","539","546","627","562","638","639","490"
"518","Coronel Domingos Soares","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"100.543,59","153.107,31","189.715,72","166.267,44","141.460,12","175.713,11","220.596,70","261.133,02","227.394,75","248.080,05","339.292,40","480.018,97","481.483,16","497.688,40","524.619,02","492.826,14","638.825,66","507.083,82","669.242,02","717.100,69","721.408,22","790.005,37","635.000,94"
"519","Coronel Domingos Soares","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"0,95","2,13","0,69","2,42","1,65","3,17","0,85","2,08","1,34","1,68","1","1,28","2,36","1,3","1,27","3,27","2,23","3,85","2,07","4,09","2,82","3,13","2,65"
"520","Coronel Domingos Soares","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"521","Coronel Domingos Soares","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"522","Coronel Domingos Soares","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"523","Coronel Vivida","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"2.075","2.160","2.000","2.059","1.919","1.905","1.943","2.050","1.988","1.903","2.013","2.170","2.229","2.227","2.246","1.975","1.839","2.347","2.154","2.249","2.308","1.918","1.689"
"524","Coronel Vivida","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"645.688,28","770.538,19","781.446,60","844.765,02","860.525,68","875.804,12","1.103.480,74","1.140.498,58","1.162.048,51","1.075.264,56","1.608.221,73","1.781.808,05","2.148.994,15","2.027.009,91","1.901.781,32","1.960.431,51","1.719.076,20","2.245.855,54","2.383.136,11","2.208.562,18","2.533.603,68","2.424.921,29","2.413.719,26"
"525","Coronel Vivida","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"2,12","2,31","2,25","1,94","2,34","2,31","2,52","2,2","2,57","2,47","2,58","2,63","3,68","2,87","3,16","3,04","3,15","3,24","3,3","3,42","3,12","4,28","4,09"
"526","Coronel Vivida","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","91","58","58","58","58","58","58","58","54","58","55","59","59","67","67","67"
"527","Coronel Vivida","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","73","46","46","46","46","46","46","46","54","56","53","57","52","60","62","62"
"528","Coronel Vivida","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","18","12","12","12","12","12","12","12","0","2","2","2","7","7","5","5"
"529","Corumbataí do Sul","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"305","323","310","221","310","277","326","252","262","252","256","243","318","288","300","369","502","459","395","357","397","351","239"
"530","Corumbataí do Sul","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"107.263,04","139.077,58","124.455,08","126.050,46","149.306,17","161.518,89","179.108,30","150.852,61","146.824,70","172.474,79","174.879,75","276.862,04","391.849,00","339.273,18","327.383,68","450.594,12","664.387,88","703.637,14","512.549,77","535.130,60","644.573,30","640.977,90","414.250,71"
"531","Corumbataí do Sul","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"2,3","2,17","2,26","4,52","1,94","2,89","3,68","5,16","3,82","3,17","2,34","5,35","5,35","3,13","2,67","4,88","3,39","2,61","5,32","4,2","4,28","5,7","7,53"
"532","Corumbataí do Sul","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"533","Corumbataí do Sul","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"534","Corumbataí do Sul","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"535","Cruz Machado","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"1.527","1.437","1.523","1.304","1.287","1.287","1.053","1.293","1.344","1.309","1.375","1.381","1.403","1.318","1.324","1.289","1.386","1.336","1.328","1.545","1.454","1.300","1.008"
"536","Cruz Machado","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"350.120,15","432.799,51","568.665,34","642.941,43","542.946,38","737.935,15","664.903,55","795.271,78","760.321,14","958.190,54","972.185,08","1.161.348,11","1.086.841,43","1.058.666,90","1.209.166,90","1.382.895,39","1.602.934,31","1.298.620,79","1.802.378,65","2.278.199,00","2.568.779,09","1.887.469,51","1.706.906,20"
"537","Cruz Machado","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"2,03","2,23","2,82","2,38","2,49","2,18","2,37","3,09","3,72","3,74","3,27","2,68","3,42","4,78","3,1","3,26","3,9","3,82","3,84","2,59","3,3","5,08","5,65"
"538","Cruz Machado","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","37","37","29","29","29","29","29","29","35","35","35","35","35","35","35","35"
"539","Cruz Machado","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","37","37","29","29","29","29","29","29","35","35","35","35","35","35","35","35"
"540","Cruz Machado","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"541","Cruzeiro do Iguaçu","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"365","345","398","412","439","367","340","413","311","340","343","383","392","398","418","508","473","467","399","495","428","447","437"
"542","Cruzeiro do Iguaçu","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"109.058,38","101.721,82","137.921,08","147.967,37","181.301,14","141.723,46","141.130,05","198.055,59","146.004,04","184.600,90","238.130,24","247.025,96","270.541,18","305.462,89","379.083,88","463.549,90","426.231,85","534.651,00","380.107,93","435.048,15","462.731,96","467.325,83","536.185,67"
"543","Cruzeiro do Iguaçu","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"4,66","1,74","1,26","1,7","2,05","1,63","3,53","2,18","1,93","0,29","2,33","1,83","2,81","2,76","2,63","3,94","3,17","3,64","4,76","0,61","3,27","2,68","5,26"
"544","Cruzeiro do Iguaçu","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"545","Cruzeiro do Iguaçu","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"546","Cruzeiro do Iguaçu","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"547","Cruzeiro do Oeste","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"1.775","1.829","1.779","1.766","1.839","1.783","1.783","1.772","1.889","1.908","1.972","1.821","1.714","1.753","1.084","2.118","1.671","1.803","1.798","1.780","2.198","1.877","1.610"
"548","Cruzeiro do Oeste","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"575.196,76","694.939,52","741.043,49","739.566,56","842.520,39","854.065,42","946.340,31","1.002.207,68","1.114.339,74","1.175.009,34","1.439.622,77","1.589.262,42","1.441.753,80","1.855.626,22","1.383.689,34","1.743.329,26","1.929.044,62","2.025.062,56","1.901.533,80","2.357.374,73","2.599.455,32","2.608.582,67","2.350.013,66"
"549","Cruzeiro do Oeste","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"2,82","3,88","3,43","3,11","3,7","3,25","3,59","3,61","2,06","2,94","2,64","2,58","3,79","3,08","6,55","4,58","4,91","4,71","4,95","4,38","4,32","4,53","5,16"
"550","Cruzeiro do Oeste","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","91","60","60","32","27","27","27","30","32","32","32","32","32","32","32","32"
"551","Cruzeiro do Oeste","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","65","34","34","25","20","20","20","30","32","32","32","32","32","32","32","32"
"552","Cruzeiro do Oeste","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","26","26","26","7","7","7","7","0","0","0","0","0","0","0","0","0"
"553","Cruzeiro do Sul","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"425","434","437","353","374","404","370","404","330","266","313","336","290","371","257","261","240","306","274","313","262","229","176"
"554","Cruzeiro do Sul","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"121.274,11","159.149,79","179.304,12","116.400,94","144.354,19","175.168,02","181.307,61","206.758,03","151.844,09","188.599,50","215.508,09","302.224,16","276.794,67","386.347,74","291.581,84","263.961,48","295.440,11","385.697,60","450.059,44","380.087,89","519.574,91","238.260,81","317.356,55"
"555","Cruzeiro do Sul","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"2,59","1,84","2,29","3,12","1,07","1,98","0,81","0,74","1,21","3,01","2,56","2,08","3,1","3,77","3,5","2,68","2,92","1,96","2,19","3,51","3,44","5,24","3,41"
"556","Cruzeiro do Sul","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11"
"557","Cruzeiro do Sul","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11"
"558","Cruzeiro do Sul","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"559","Cruzmaltina","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"141","230","242","197","253","224","210","236","163","154","172","157","249","156","221","256","300","294","280","290","287","293","267"
"560","Cruzmaltina","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"38.203,31","85.510,75","90.384,64","81.361,43","137.514,16","126.728,59","146.565,67","131.788,88","127.944,34","159.409,34","144.974,67","137.635,64","268.337,40","307.700,76","286.223,93","393.754,03","568.759,29","455.461,09","356.261,80","524.778,58","758.122,20","499.589,38","565.303,09"
"561","Cruzmaltina","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"1,42","2,17","1,24","1,02","1,98","4,46","3,33","2,97","5,52","3,25","5,23","2,55","5,62","8,33","7,24","4,3","3","5,1","5,36","7,59","6,97","5,12","5,99"
"562","Cruzmaltina","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"563","Cruzmaltina","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"564","Cruzmaltina","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"565","Curitiba","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"109.693","115.582","110.702","111.504","109.473","104.899","102.187","96.897","99.675","102.628","105.220","109.342","109.853","108.621","104.950","101.800","101.094","104.554","107.633","115.278","123.577","126.035","97.537"
"566","Curitiba","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"55.527.619,67","77.579.767,10","64.629.729,87","73.900.277,63","85.142.190,01","92.001.899,26","98.836.824,08","92.973.505,44","95.463.212,99","106.216.977,20","120.702.327,20","145.743.934,23","156.461.965,44","170.230.322,91","172.719.986,34","181.591.404,27","190.674.094,34","200.173.267,74","214.055.905,15","224.772.842,29","237.544.626,59","251.467.593,18","247.848.289,18"
"567","Curitiba","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"3,06","2,95","2,84","2,84","3,21","3,27","3,51","3,58","3,63","3,44","3,21","3,24","3,11","3,19","3,2","3,46","3,86","3,69","3,9","3,54","3,53","3,72","5,75"
"568","Curitiba","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","5.741","6.004","6.240","6.072","6.229","6.289","6.340","5.975","5.912","5.673","5.580","5.469","5.514","5.547","5.623","5.978"
"569","Curitiba","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","3.192","3.368","3.419","3.386","3.579","3.598","3.650","3.383","3.256","2.953","2.884","2.745","2.731","2.782","2.520","2.959"
"570","Curitiba","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","2.549","2.636","2.821","2.686","2.650","2.691","2.690","2.592","2.656","2.720","2.696","2.724","2.783","2.765","3.103","3.019"
"571","Curiúva","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"1.061","1.093","1.169","939","898","976","822","882","1.014","1.087","896","879","910","899","1.016","904","815","808","800","843","947","1.011","733"
"572","Curiúva","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"283.187,72","353.156,99","443.057,61","510.722,77","423.249,99","467.559,16","454.475,90","545.575,92","680.356,81","763.457,22","692.808,77","816.323,28","946.392,26","1.067.294,17","1.027.341,99","885.257,40","966.591,21","970.609,88","1.198.428,71","1.416.410,88","1.728.967,69","1.896.615,41","1.689.421,21"
"573","Curiúva","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"2,07","1,83","1,2","2,66","3,01","2,25","3,41","3,63","1,87","2,94","3,57","3,64","4,29","2,78","2,07","1,88","2,94","3,34","4,5","4,03","3,17","4,65","5,87"
